Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,8-purple,37,,,0.253,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,8-purple,37,,,0.364,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,8-purple,37,,,0.437,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,8-purple,37,,,0.42,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,8-purple,37,,,0.47,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,8-purple,37,,,0.377,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,8-purple,37,,,0.329,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,8-purple,37,,,0.473,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,8-purple,37,,,0.466,nubbin underneath giving a boost bc too deep!,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,8-purple,37,,,0.492,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,8-purple,37,,,0.502,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,8-purple,37,,,0.551,,420
